2026-01-27 12:14:10.424 | INFO     | src.lightning.lightning_loftr:__init__:57 - 成功加载预训练 Backbone 权重: 'weights/outdoor_ds.ckpt' (107 tensors)
2026-01-27 12:14:10.425 | INFO     | src.lightning.lightning_loftr:__init__:58 - Transformer 部分已随机初始化，准备从头学习跨模态匹配。
2026-01-27 12:14:10.471 | INFO     | __main__:main:699 - 已强制加载全量预训练权重 (Backbone + Transformer)
2026-01-27 12:14:10.471 | INFO     | __main__:main:700 - Missing keys: []
2026-01-27 12:14:10.589 | INFO     | __main__:main:730 - 开始训练 V2.3 (Minimalist): 260127_6_v2_3
2026-01-27 12:16:01.847 | INFO     | src.lightning.lightning_loftr:__init__:57 - 成功加载预训练 Backbone 权重: 'weights/outdoor_ds.ckpt' (107 tensors)
2026-01-27 12:16:01.848 | INFO     | src.lightning.lightning_loftr:__init__:58 - Transformer 部分已随机初始化，准备从头学习跨模态匹配。
2026-01-27 12:16:01.893 | INFO     | __main__:main:699 - 已强制加载全量预训练权重 (Backbone + Transformer)
2026-01-27 12:16:01.894 | INFO     | __main__:main:700 - Missing keys: []
2026-01-27 12:16:02.029 | INFO     | __main__:main:731 - 开始训练 V2.3 (Minimalist): 260127_6_v2_3
2026-01-27 12:16:05.186 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=224, Spatial Binning后=187
2026-01-27 12:16:05.222 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=18/187, H_est是否单位矩阵=False
2026-01-27 12:16:05.222 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (18), 可能导致配准质量差
2026-01-27 12:16:05.224 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=91, Spatial Binning后=91
2026-01-27 12:16:05.258 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=17/91, H_est是否单位矩阵=False
2026-01-27 12:16:05.258 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 1: Inliers 数量较少 (17), 可能导致配准质量差
2026-01-27 12:16:05.259 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=97, Spatial Binning后=97
2026-01-27 12:16:05.293 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=16/97, H_est是否单位矩阵=False
2026-01-27 12:16:05.293 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 2: Inliers 数量较少 (16), 可能导致配准质量差
2026-01-27 12:16:05.295 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=223, Spatial Binning后=203
2026-01-27 12:16:05.330 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=30/203, H_est是否单位矩阵=False
2026-01-27 12:16:05.755 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=100, Spatial Binning后=94
2026-01-27 12:16:05.790 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=16/94, H_est是否单位矩阵=False
2026-01-27 12:16:05.790 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (16), 可能导致配准质量差
2026-01-27 12:16:05.791 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=132, Spatial Binning后=131
2026-01-27 12:16:05.826 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=15/131, H_est是否单位矩阵=False
2026-01-27 12:16:05.826 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 1: Inliers 数量较少 (15), 可能导致配准质量差
2026-01-27 12:16:05.827 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=89, Spatial Binning后=89
2026-01-27 12:16:05.861 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=13/89, H_est是否单位矩阵=False
2026-01-27 12:16:05.861 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 2: Inliers 数量较少 (13), 可能导致配准质量差
2026-01-27 12:16:05.862 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=164, Spatial Binning后=160
2026-01-27 12:16:05.897 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=19/160, H_est是否单位矩阵=False
2026-01-27 12:16:05.897 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 3: Inliers 数量较少 (19), 可能导致配准质量差
2026-01-27 12:16:06.275 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=134, Spatial Binning后=131
2026-01-27 12:16:06.308 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=22/131, H_est是否单位矩阵=False
2026-01-27 12:16:06.309 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (22), 可能导致配准质量差
2026-01-27 12:16:06.310 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=96, Spatial Binning后=96
2026-01-27 12:16:06.343 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=13/96, H_est是否单位矩阵=False
2026-01-27 12:16:06.343 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 1: Inliers 数量较少 (13), 可能导致配准质量差
2026-01-27 12:16:06.344 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=50, Spatial Binning后=50
2026-01-27 12:16:06.371 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=12/50, H_est是否单位矩阵=False
2026-01-27 12:16:06.372 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 2: Inliers 数量较少 (12), 可能导致配准质量差
2026-01-27 12:16:06.373 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=98, Spatial Binning后=94
2026-01-27 12:16:06.406 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=12/94, H_est是否单位矩阵=False
2026-01-27 12:16:06.406 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 3: Inliers 数量较少 (12), 可能导致配准质量差
2026-01-27 12:16:07.587 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=223, Spatial Binning后=206
2026-01-27 12:16:07.622 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=42/206, H_est是否单位矩阵=False
2026-01-27 12:16:07.624 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=291, Spatial Binning后=238
2026-01-27 12:16:07.659 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=38/238, H_est是否单位矩阵=False
2026-01-27 12:16:07.661 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=294, Spatial Binning后=244
2026-01-27 12:16:07.696 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=50/244, H_est是否单位矩阵=False
2026-01-27 12:16:07.697 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=244, Spatial Binning后=199
2026-01-27 12:16:07.732 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=37/199, H_est是否单位矩阵=False
2026-01-27 12:16:08.305 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=227, Spatial Binning后=194
2026-01-27 12:16:08.332 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=48/194, H_est是否单位矩阵=False
2026-01-27 12:16:08.334 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=97, Spatial Binning后=97
2026-01-27 12:16:08.367 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=11/97, H_est是否单位矩阵=False
2026-01-27 12:16:08.367 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 1: Inliers 数量较少 (11), 可能导致配准质量差
2026-01-27 12:16:08.368 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=98, Spatial Binning后=98
2026-01-27 12:16:08.402 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=15/98, H_est是否单位矩阵=False
2026-01-27 12:16:08.402 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 2: Inliers 数量较少 (15), 可能导致配准质量差
2026-01-27 12:16:08.404 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=183, Spatial Binning后=173
2026-01-27 12:16:08.438 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=34/173, H_est是否单位矩阵=False
2026-01-27 12:16:08.934 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=110, Spatial Binning后=110
2026-01-27 12:16:08.968 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=11/110, H_est是否单位矩阵=False
2026-01-27 12:16:08.968 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (11), 可能导致配准质量差
2026-01-27 12:16:08.970 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 1: 总匹配点=276, Spatial Binning后=209
2026-01-27 12:16:08.996 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 1: RANSAC 成功, inliers=51/209, H_est是否单位矩阵=False
2026-01-27 12:16:08.998 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 2: 总匹配点=398, Spatial Binning后=286
2026-01-27 12:16:09.033 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 2: RANSAC 成功, inliers=44/286, H_est是否单位矩阵=False
2026-01-27 12:16:09.035 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 3: 总匹配点=191, Spatial Binning后=167
2026-01-27 12:16:09.064 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 3: RANSAC 成功, inliers=41/167, H_est是否单位矩阵=False
2026-01-27 12:16:09.192 | INFO     | src.utils.metrics:aggregate_metrics:350 - Aggregating metrics over 12 unique items...
2026-01-27 12:16:09.216 | INFO     | src.lightning.lightning_loftr:on_train_epoch_start:140 - Minimal Training (V2.1) | Epoch 0 | No vessel guidance (λ=0, loss_w=1.0)
2026-01-27 12:18:40.680 | INFO     | __main__:on_train_epoch_end:445 - Epoch 1 训练总结 >> loss_c: 3.3870 | loss_f: 0.5793
2026-01-27 12:18:42.244 | INFO     | src.utils.metrics:compute_homography_errors:247 - 🔍 Batch 0: 总匹配点=5, Spatial Binning后=5
2026-01-27 12:18:42.246 | INFO     | src.utils.metrics:compute_homography_errors:270 - ✅ Batch 0: RANSAC 成功, inliers=4/5, H_est是否单位矩阵=False
2026-01-27 12:18:42.246 | WARNING  | src.utils.metrics:compute_homography_errors:277 - ⚠️ Batch 0: Inliers 数量较少 (4), 可能导致配准质量差
2026-01-27 12:18:42.247 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (0 < 4)
2026-01-27 12:18:42.247 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:18:42.248 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (1 < 4)
2026-01-27 12:18:42.885 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 0: 匹配点数不足 (0 < 4)
2026-01-27 12:18:42.885 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (2 < 4)
2026-01-27 12:18:42.885 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 2: 匹配点数不足 (0 < 4)
2026-01-27 12:18:42.886 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 3: 匹配点数不足 (3 < 4)
2026-01-27 12:18:43.377 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 0: 匹配点数不足 (2 < 4)
2026-01-27 12:18:43.378 | WARNING  | src.utils.metrics:compute_homography_errors:230 - ⚠️ Batch 1: 匹配点数不足 (0 < 4)
